PIGMENT - C.I. NAME	PIGMENT - CHEMICAL NAME	PAINT - MARKETING NAME	MANUFACTURER	CODE	Tr	St	VR	Gr	Bl	 Df	HA	HS	Lf	
PG50	cobalt titanium nickel zinc oxide (1992)	cobalt green pure	Schmincke	535	1	4	47	2	4	1	152	-9	8	8
PG50	cobalt titanium nickel zinc oxide (1992)	cobalt green YS - [discontinued in 2005]	Winsor & Newton	234	1	3	44	2	3	2	153	-3	8	8
PG50	cobalt titanium nickel zinc oxide (1992)	cobalt green deep	MaimeriBlu	317	0	2	48	2	2	1	155	-7	8	8
PG50	cobalt titanium nickel zinc oxide (1992)	cobalt green [YS]	Daniel Smith	67	2	2	45	2	3	2	156	-9	8	8
PG50	cobalt titanium nickel zinc oxide (1992)	cobalt green [BS]	Winsor & Newton	67	2	4	36	2	1	1	178	-3	8	8
PG50	cobalt titanium oxide (1992)	cobalt teal	Utrecht	166	2	0	27	1	0	2	196	-3	8	8
PG50	cobalt titanium oxide (1992)	cobalt teal blue	Daniel Smith	78	3	2	28	2	4	1	198	-5	8	8
PG50	cobalt titanium oxide (1992)	colbalt turquoise light	Winsor & Newton	235	2	3	31	1	2	1	198	-4	8	8
PG7	chlorinated copper phthalocyanine (1927; 1938)	phthalocyanine green	Utrecht	167	4	3	55	0	3	1	174	-3	7	8
PG7	chlorinated copper phthalocyanine (1927; 1938)	phthalo green	DaVinci	268	4	4	62	1	2	2	175	-1	8	8
PG7	chlorinated copper phthalocyanine (1927; 1938)	blockx green	Blockx	263	4	4	58	1	1	3	175	-3	8	8
PG7	chlorinated copper phthalocyanine (1927; 1938)	phthalo green	Rowney Artists	361	4	3	50	0	3	1	175	-2	7	8
PG7	chlorinated copper phthalocyanine (1927; 1938)	phthalo green	Rembrandt	675	4	3	59	0	3	4	176	-1	8	8
PG7	chlorinated copper phthalocyanine (1927; 1938)	cupric green deep	MaimeriBlu	324	4	3	52	0	3	4	177	-2	8	8
PG7	chlorinated copper phthalocyanine (1927; 1938)	winsor green BS	Winsor & Newton	209	3	4	53	0	1	1	178	-2	8	8
PG7	chlorinated copper phthalocyanine (1927; 1938)	phthalo green BS	Daniel Smith	55	3	4	59	0	2	1	179	-2	8	8
PG7	chlorinated copper phthalocyanine (1927; 1938)	phthalocyanine green	M. Graham	150	3	4	64	1	2	2	184	-5	8	8
PG7+PBr7	chlorinated copper phthalocyanine + natural iron manganese oxide	terre verte	Schmincke	516	4	1	31	1	2	2	107	-2	8	8
PG7+PO49	chlorinated copper phthalocyanine + quinacridone gold	sap green	Daniel Smith	43	3	3	51	1	2	0	119	-12	8	8
PG7+PO49	chlorinated copper phthalocyanine + quinacridone gold	hooker's green	MaimeriBlu	325	3	3	60	0	2	3	139	-14	7	8
PG7+PO62	chlorinated copper phthalocyanine + benzimidazolone orange H5G	sap green	M. Graham	174	1	3	61	0	4	1	132	-11	7	8
PG7+PY1 - +PY42	chlorinated copper phthalocyanine + arylide yellow G + synthetic yellow iron oxide	permanent green #1	Holbein	266	2	1	33	1	0	1	128	-10	5	6
PG7+PY110	chlorinated copper phthalocyanine + tetrachloro-isoindoline yellow	hooker's green	M. Graham	108	1	3	63	0	4	1	139	-5	7	8
PG7+PY138	chlorinated copper phthalocyanine + quinophthalone yellow	vivid green	Rowney Artists	47	1	3	31	0	4	2	131	-12	7	8
PG7+PY150	chlorinated copper phthalocyanine + nickel azomethine yellow	sap green	Rembrandt	623	2	3	55	0	3	2	131	-12	7	8
PG7+PY150	chlorinated copper phthalocyanine + nickel azomethine yellow	hooker's green deep	Rembrandt	623	2	3	58	0	3	2	161	0	7	8
PG7+PY150 - +PV19	chlorinated copper phthalocyanine + nickel azomethine yellow + quinacridone rose	olive green	Rembrandt	620	2	3	48	0	3	2	103	0	7	8
PG7+PY151	chlorinated copper phthalocyanine + benzimidazolone yellow	permanent green light	M. Graham	130	2	3	63	0	3	2	160	-7	7	8
PG7+PY153	chlorinated copper phthalocyanine + nickel dioxine yellow	hooker's green #1 [light]	Rowney Artists	353	4	3	60	0	3	1	140	-12	4	4
PG7+PY153 - +PR101	chlorinated copper phthalocyanine + nickel dioxine yellow + transparent red iron oxide	sap green	Rowney Artists	375	4	3	62	0	3	1	123	-10	7	8
PG7+PY153 - +PR264	chlorinated copper phthalocyanine + nickel dioxine yellow + pyrrole carmine	olive green	Rowney Artists	363	4	3	69	0	3	1	95	3	2	4
PG7+PY154	chlorinated copper phthalocyanine + benzimidazolone yellow	permanent green	Rembrandt	662	2	3	57	0	3	2	157	-7	7	8
PG7+PY175	chlorinated copper phthalocyanine + benzimidazolone lemon	permanent green deep	MaimeriBlu	340	3	2	43	0	2	4	158	-9	7	8
PG7+PY3	chlorinated copper phthalocyanine + arylide yellow 10G	phthalo yellow green	Daniel Smith	124	2	3	28	0	3	2	135	-18	7	7
PG7+PY3	chlorinated copper phthalocyanine + arylide yellow 10G	permanent green light	Daniel Smith	47	1	3	35	0	4	2	148	-15	6	7
PG7+PY3	chlorinated copper phthalocyanine + arylide yellow 10G	permanent green	Daniel Smith	22	2	3	44	0	3	0	158	-13	7	8
PG7+PY3	chlorinated copper phthalocyanine + arylide yellow 10G	permanent green light	Utrecht	161	2	3	52	0	4	1	159	-16	7	7
PG7+PY3 - +PV19	chlorinated copper phthalocyanine + arylide yellow 10G + quinacridone rose	hooker's green #2 [dark]	Rowney Artists	354	4	3	36	0	3	1	153	-5	5	6
PG7+PY42	chlorinated copper phthalocyanine + synthetic yellow iron oxide	olive green	Winsor & Newton	33	4	0	38	1	1	1	99	-4	7	8
PG7+PY42	chlorinated copper phthalocyanine + yellow iron oxide	sap green	DaVinci	277	3	3	45	2	1	1	128	-1	7	8
PG8	nitroso iron complex (1921)	hooker's green	Utrecht	163	3	3	62	1	4	0	141	-11	5	7
PO20	cadmium sulfoselenide (1892; 1910)	cadmium red orange	Blockx	321	0	4	39	0	3	2	41	4	8	8
PO20	cadmium sulfoselenide (1892; 1910)	cadmium red orange	Schmincke	348	1	4	38	1	3	2	42	-1	8	8
PO20	cadmium sulfoselenide (1892; 1910)	cadmium orange	DaVinci	208	2	3	34	1	3	1	47	7	8	8
PO20	cadmium sulfoselenide (1892; 1910)	cadmium orange	MaimeriBlu	54	1	3	33	0	2	1	48	-2	8	8
PO20	cadmium sulfoselenide (1892; 1910)	cadmium orange	M. Graham	38	2	4	31	1	3	1	50	0	8	8
PO20	cadmium sulfoselenide (1892; 1910)	cadmium orange	Utrecht	133	2	3	30	0	3	0	50	3	8	8
PO20	cadmium sulfoselenide (1892; 1910)	cadmium orange - [discontinued in 2006]	Daniel Smith	81	3	4	28	1	3	3	52	0	8	8
PO20	cadmium sulfoselenide (1892; 1910)	cadmium orange deep	Schmincke	228	1	4	29	1	3	1	53	2	8	8
PO20	cadmium sulfoselenide (1892; 1910)	cadmium yellow orange	Blockx	312	1	4	26	1	2	2	60	9	8	8
PO20	cadmium sulfoselenide (1892; 1910)	cadmium orange light	Schmincke	227	2	4	23	0	2	1	63	4	8	8
PO20+PY35	cadmium sulfoselenide + cadmium zinc sulfide	cadmium orange	Rembrandt	211	1	4	29	1	3	2	54	5	7	8
PO20+PY35	cadmium sulfoselenide + cadmium zinc sulfide	cadmium orange	Rowney Artists	615	1	3	29	0	4	1	55	6	7	8
PO34	dizazopyrazolone orange (1960)	cinnebar red [hue] - [discontinued in 2005]	Lukas	1088	2	2	36	0	1	1	39	5	2	5
PO36	benzimidazolone scarlet (1960)	permanent vermilion	Art Spectrum	W11	2	2	42	0	1	1	41	5	8	8
PO43	perinone orange (1965)	perinone orange	Daniel Smith	14	2	4	40	0	3	2	42	0	7	6
PO43	perinone orange (1965)	perinone orange	Utrecht	0	3	1	35	0	3	3	45	-1	7	6
PO43	perinone orange (1965)	orange lake	MaimeriBlu	125	2	3	34	0	2	3	46	-3	7	6
PO48	quinacridone orange (1958)	quinacridone burnt orange	Daniel Smith	91	4	3	47	0	2	1	45	9	7	8
PO49	quinacridone gold (1958)	golden lake - [discontinued in 2005]	MaimeriBlu	128	4	2	38	2	2	3	59	16	7	8
PO49	quinacridone gold (1958)	quinacridone gold - [discontinued in 2005]	Winsor & Newton	228	3	4	34	1	2	3	60	15	7	8
PO49	quinacridone gold (1958)	quinacridone gold	Daniel Smith	96	4	3	38	2	4	3	61	14	7	8
PO49+PR209	quinacridone gold + quinacridone red	quinacridone sienna - [discontinued in 2005]	Daniel Smith	95	4	4	45	0	3	2	40	11	7	8
PO5	beta naphthol scarlet (1960)	permanent red light - [discontinued in 2005]	Lukas	1099	2	2	39	0	1	1	43	8	3	6
PO62	benzimidazolone orange H5G (1960)	permanent orange	Daniel Smith	212	3	3	29	0	3	4	50	11	7	8
PO62	benzimidazolone orange H5G (1960)	winsor orange	Winsor & Newton	212	2	4	26	0	3	3	55	8	7	7
PO62	benzimidazolone orange H5G (1960)	benzimida orange	DaVinci	204	2	4	26	0	2	2	55	5	7	8
PO62	benzimidazolone orange H5G (1960)	helio genuine orange	Lukas	1048	2	4	26	0	2	2	55	5	7	8
PO62	benzimidazolone orange H5G (1960)	permanent orange	MaimeriBlu	110	2	3	24	0	2	2	58	5	6	7
PO65	methin nickel complex	golden barok red	Old Holland	136	2	0	56	2	4	1	30	13	7	8
PO67	pyrazoloquinazolone orange (1967)	coral orange	Old Holland	145	1	2	39	0	4	1	44	-1	6	6
PO69	isoindoline orange (1964)	scheveningen orange - [discontinued in 2003]	Old Holland	18	1	2	35	0	3	2	46	9	3	7
PO71	diketo-pyrrolo pyrrole orange (1984)	translucent orange	Schmincke	218	3	2	42	1	3	0	43	0	7	6
PO73	diketo-pyrrolo pyrrole orange (1984)	pyrrol orange	Daniel Smith	126	3	4	38	0	2	2	46	-8	7	8
PO73	diketo-pyrrolo pyrrole orange (1984)	warm orange	Rowney Artists	633	1	4	35	0	1	3	46	-9	7	8
PO73	diketo-pyrrolo pyrrole orange (1984)	winsor orange RS	Winsor & Newton	723	3	3	38	0	3	3	48	-9	7	8
PR N/A	quinacridone pyrrolidone (1993)	madder red [hue] dark - [discontinued in 2007]	Schmincke	354	3	3	58	1	2	1	22	-13	6	7
PR N/A	quinacridone pyrrolidone (1993)	permanent alizarin crimson	Holbein	209	3	3	58	1	2	2	23	-14	6	7
PR N/A	quinacridone pyrrolidone (1993)	permanent carmine	Winsor & Newton	226	3	4	57	0	3	2	25	-16	6	7
PR N/A+PR206	quinacridone pyrrolidone + quinacridone maroon	permanent alizarin crimson 	Winsor & Newton	225	4	3	55	0	2	1	21	-7	6	6
PR101	calcinated synthetic red iron oxide (19th century)	mars violet	Rowney Artists	411	1	3	62	0	3	2	24	6	7	8
PR101	calcinated synthetic red iron oxide (19th century)	mars violet - [discontinued in 2002]	Daniel Smith	102	0	3	65	1	3	2	26	7	7	8
PR101	calcinated synthetic red iron oxide (19th century)	caput mortuum violet [mars violet]	Winsor & Newton	215	0	4	66	2	4	2	27	3	7	8
PR101	calcinated synthetic red iron oxide (19th century)	venetian red	Utrecht	5	1	3	60	0	3	2	28	-1	8	8
PR101	calcinated synthetic red iron oxide (19th century)	indian red	Daniel Smith	44	1	4	58	0	1	2	29	2	8	8
PR101	calcinated synthetic red iron oxide (19th century)	indian red	Winsor & Newton	23	0	4	62	0	1	2	30	3	8	8
PR101	calcinated synthetic red iron oxide (19th century)	venetian red	DaVinci	288	0	4	62	1	2	2	32	4	8	8
PR101	calcinated synthetic red iron oxide (19th century)	transparent red oxide	Daniel Smith	128	4	2	58	2	3	3	33	15	8	8
PR101	calcinated synthetic red iron oxide (19th century)	english red ochre	Daniel Smith	136	2	1	54	1	4	3	34	-1	7	8
PR101	calcinated synthetic red iron oxide (19th century)	indian red	Utrecht	6	3	3	45	0	3	1	34	3	8	8
PR101	calcinated synthetic red iron oxide (19th century)	venetian red	Daniel Smith	51	0	3	59	1	3	2	35	1	8	8
PR101	calcinated synthetic red iron oxide (19th century)	venetian red	MaimeriBlu	262	0	4	59	0	2	2	35	7	8	8
PR101	calcinated synthetic red iron oxide (19th century)	transparent brown oxide	Daniel Smith	129	3	2	63	1	3	4	35	18	8	8
PR101	calcinated synthetic red iron oxide (19th century)	venetian red	Rowney Artists	583	0	4	58	0	2	2	36	4	8	8
PR101	calcinated synthetic red iron oxide (19th century)	venetian red	Rembrandt	349	1	3	56	0	3	2	36	2	8	8
PR101	calcinated synthetic red iron oxide (19th century)	venetian red [mars red]	Winsor & Newton	51	0	4	54	0	2	2	38	2	8	8
PR101	calcinated synthetic red iron oxide (19th century)	english red	Rembrandt	339	1	3	53	0	3	2	38	5	8	8
PR101	calcinated synthetic red iron oxide (19th century)	english red earth	Daniel Smith	137	2	2	54	2	3	2	38	12	7	8
PR101	calcinated synthetic red iron oxide (19th century)	light red	Rowney Artists	527	1	3	56	0	3	2	38	5	8	8
PR101	calcinated synthetic red iron oxide (19th century)	indian red	Rowney Artists	523	0	4	61	0	1	2	38	-1	8	8
PR101	calcinated synthetic red iron oxide (19th century)	burnt sienna	Rowney Artists	221	4	3	56	1	2	2	38	14	7	8
PR101	calcinated synthetic red iron oxide (19th century)	italian venetian red	Daniel Smith	122	1	3	47	1	3	2	40	5	8	8
PR101	calcinated synthetic red iron oxide (19th century)	transparent oxide red	Rembrandt	378	1	3	47	0	3	2	41	5	8	6
PR101	calcinated synthetic red iron oxide (19th century)	mars brown	Old Holland	346	1	1	61	2	3	4	41	7	7	7
PR101	calcinated synthetic red iron oxide (19th century)	transparent mars red	MaimeriBlu	250	3	2	48	2	1	2	42	20	7	8
PR101	calcinated synthetic red iron oxide (19th century)	burnt sienna	Winsor & Newton	8	4	3	39	1	2	2	45	13	7	8
PR101	calcinated synthetic red iron oxide (19th century)	transparent mars brown	MaimeriBlu	477	4	3	43	1	3	4	52	10	7	7
PR101+PBk6		sepia	Winsor & Newton	45	2	4	72	0	1	0	59	4	7	8
PR101+PBr7	calcinated synthetic red iron oxide + calcinated natural iron oxide	terre ercolano	Daniel Smith	117	3	2	46	1	1	1	42	3	7	7
PR101+PG36	calcinated synthetic red iron oxide + copper phthalocyanine	brown stil de grain	MaimeriBlu	488	4	4	43	2	2	3	45	8	7	7
PR101+PG7	calcinated synthetic red iron oxide+copper phthalocyanine	transparent oxide brown	Rembrandt	378	1	3	44	0	3	2	51	5	7	7
PR101+PR264	calcinated synthetic red iron oxide + diketo-pyrrolo pyrrole carmine	indian red	Rembrandt	347	1	2	57	0	1	1	31	2	7	7
PR101+PY42	calcinated synthetic red iron oxide + synthetic yellow iron oxide	light red - [discontinued in 2005]	Winsor & Newton	29	1	2	48	0	1	1	39	8	7	7
PR102	calcinated natural red iron oxide (antiquity)	yellow ochre burnt	Old Holland	60	4	0	47	1	2	1	49	10	8	8
PR102	calcinated natural red iron oxide (antiquity)	yellow ochre half burnt	Old Holland	59	2	0	39	0	3	1	55	11	8	6
PR102	calcinated natural red iron oxide (antiquity)	light red	Winsor & Newton	362	.	.	48	.	.	.	39	8	.	.
PR106	mercuric sulfide (c.800)	vermilion [genuine] - [discontinued in 1999]	Blockx	320	0	4	43	1	4	1	35	1	3	3
PR108	cadmium sulfoselenide	cadmium purple	Blockx	325	1	4	54	1	1	0	24	0	8	8
PR108	cadmium sulfoselenide + nickel titanate yellow	cadmium red deep	Rowney Artists	502	0	4	59	1	3	1	25	0	8	8
PR108	cadmium sulfoselenide	cadmium red deep	Utrecht	144	2	3	59	0	0	1	25	4	8	8
PR108	cadmium sulfoselenide + nickel titanate yellow	cadmium red	M. Graham	40	0	4	53	1	2	3	26	0	8	8
PR108	cadmium sulfoselenide	cadmium red deep	MaimeriBlu	232	0	3	54	1	2	1	27	-1	8	8
PR108	cadmium sulfoselenide + nickel titanate yellow	cadmium red deep	DaVinci	210	1	4	51	1	2	1	29	-3	8	8
PR108	cadmium sulfoselenide	cadmium red	Blockx	323	0	4	52	1	3	1	29	-2	8	8
PR108	cadmium lithopone	cadmium purple	Holbein	217	0	3	53	1	2	0	30	0	8	8
PR108	cadmium sulfoselenide	cadmium red deep	Rembrandt	306	1	4	50	1	3	1	30	-2	8	8
PR108	cadmium sulfoselenide (1892; 1910)	cadmium red deep	Winsor & Newton	83	2	4	50	1	4	2	31	-2	8	8
PR108	cadmium sulfoselenide + nickel titanate yellow	cadmium red	Rowney Artists	501	0	4	49	1	3	1	31	0	8	8
PR108	cadmium sulfoselenide	cadmium red	Utrecht	144	2	3	48	0	0	1	31	3	8	8
PR108	cadmium sulfoselenide + nickel titanate yellow	cadmium red light	M. Graham	50	1	4	48	1	3	1	32	0	8	8
PR108	cadmium lithopone	cadmium red deep	Holbein	215	0	3	51	1	2	1	32	-3	8	8
PR108	cadmium sulfoselenide	cadmium red medium	Rembrandt	314	1	4	48	1	3	1	33	0	8	8
PR108	cadmium sulfoselenide (1892; 1910)	cadmium red	Winsor & Newton	82	1	3	50	0	3	2	34	-2	8	8
PR108	cadmium sulfoselenide + nickel titanate yellow	cadmium red pale	Rowney Artists	506	0	4	45	1	3	1	34	0	8	8
PR108	cadmium lithopone	cadmium red light	Holbein	214	0	2	47	1	3	1	35	-1	8	8
PR108	cadmium sulfoselenide	cadmium red light	Utrecht	143	2	3	43	0	1	2	36	3	8	8
PR108	cadmium sulfoselenide + nickel titanate yellow	cadmium red medium	DaVinci	211	1	4	43	1	3	2	37	-4	8	8
PR108	cadmium sulfoselenide	cadmium red light	MaimeriBlu	226	1	4	44	1	1	2	37	-1	8	8
PR108	cadmium lithopone	vermilion [cadmium scarlet]	Holbein	218	1	2	41	0	3	1	38	-4	8	8
PR108	cadmium sulfoselenide + nickel titanate yellow	cadmium scarlet	DaVinci	213	1	4	39	0	3	2	39	0	8	8
PR108	cadmium lithopone	cadmium scarlet	Lukas	217	0	3	42	1	0	0	39	-3	8	8
PR108	cadmium sulfoselenide (1892; 1910)	cadmium scarlet	Winsor & Newton	84	2	3	43	0	3	3	40	-3	8	8
PR108	cadmium sulfoselenide	cadmium red orange	Holbein	216	1	3	36	1	2	2	44	-2	7	8
PR108	cadmium sulfoselenide	cadmium red orange	Sennelier	609	2	4	34	0	1	3	45	-3	7	8
PR108	cadmium sulfoselenide	cadmium yellow orange	Holbein	244	2	3	25	0	2	2	64	4	7	8
PR108:1	cadmium lithopone	cadmium red deep - [discontinued in 2006]	Daniel Smith	83	0	4	56	1	2	3	26	1	8	8
PR108:1	cadmium lithopone	cadmium red - [discontinued in 2006]	Daniel Smith	82	1	4	49	1	2	2	31	0	8	8
PR108:1	cadmium lithopone	cadmium red scarlet - [discontinued in 2006]	Daniel Smith	6	0	4	42	0	1	1	37	-1	8	8
PR108+ - PO20+PW6	cadmium sulfoselenide + titanium oxide	jaune brilliant #2	Holbein	232	1	2	16	0	2	1	54	9	7	8
PR108+PO20	cadmium sulfoselenide	cadmium red light	Rembrandt	303	1	4	45	1	3	1	37	2	8	8
PR108+PY53	cadmium sulfoselenide + nickel titanate yellow	vermilion hue - [discontinued in 2005]	Winsor & Newton	232	2	4	41	1	4	3	34	0	8	8
PR112	naphthol AS-D red (1911)	naphthol red	M. Graham	120	4	4	50	1	2	2	34	-10	7	8
PR112	naphthol AS-D red (1911)	permanent red	Holbein	21	1	4	51	0	3	3	36	-14	6	7
PR122	quinacridone magenta (1958)	rose violet	Holbein	318	4	3	54	0	2	2	0	-11	7	8
PR122	quinacridone magenta (1958)	verzino violet	MaimeriBlu	473	3	3	52	0	3	4	1	-11	8	8
PR122	quinacridone magenta (1958)	quinacridone magenta	Winsor & Newton	229	3	2	56	0	3	1	3	-14	7	8
PR122	quinacridone magenta (1958)	old holland magenta	Old Holland	181	3	1	56	1	3	2	3	-13	7	8
PR122	quinacridone magenta (1958)	quinacridone magenta	Utrecht	3	4	3	55	0	2	1	4	-13	7	8
PR122	quinacridone magenta (1958)	quinacridone purple	Sennelier	671	2	3	47	1	2	2	354	-4	7	8
PR122	quinacridone magenta (1958)	quinacridone magenta	Rowney Artists	414	4	3	48	0	2	2	356	-7	7	8
PR122	quinacridone magenta (1958)	purple magenta	Schmincke	367	3	3	53	0	2	2	359	-10	7	8
PR122	quinacridone magenta (1958)	geranium lake bluish - [replaced in 2005]	Lukas	1081	2	3	53	0	2	2	359	-10	7	8
PR122+BV10	quinacridone magenta + rhodamine B violet	opera rose	Winsor & Newton	448	3	1	43	1	4	3	357	-10	.	.
PR122+BV10	quinacridone magenta + rhodamine B violet	opera	Holbein	213	2	2	43	0	3	1	358	-3	5	6
PR122+PR171	quinacridone magenta + benzimidazolone maroon	purple madder [hue] - [discontinued in 2005]	Winsor & Newton	205	3	3	68	0	3	1	14	-8	7	8
PR149	perylene scarlet (1957)	perylene scarlet	Daniel Smith	44	2	3	54	1	3	1	30	-5	6	6
PR168	anthraquinone scarlet (1913)	old holland bright red	Old Holland	151	3	1	42	0	3	0	37	-6	7	6
PR168	anthraquinone scarlet (1913)	permanent red light	MaimeriBlu	251	3	3	41	0	2	3	38	-7	7	7
PR170	naphthol AS carbamide F5RK (1963)	dark red [crimson]	Schmincke	345	2	3	52	0	1	2	24	-10	3	5
PR170	naphthol AS carbamide F5RK (1963)	carmine [hue]	Rowney Artists	509	2	4	48	0	3	4	25	-12	5	7
PR170	naphthol AS carbamide F5RK (1963)	permanent red deep	Daniel Smith	93	2	4	56	0	3	4	30	-15	4	6
PR170	naphthol AS carbamide F3RK (1911)	permanent red	Daniel Smith	75	2	4	53	0	3	1	31	-8	6	7
PR171	benzimidazolone maroon (1960)	naphthamide maroon	Daniel Smith	39	3	3	64	0	2	0	17	-7	8	8
PR175	benzimidazolone red (1960)	deep scarlet	Daniel Smith	46	3	3	58	0	4	1	34	-5	8	8
PR176	benzimidazolone carmine HF3C (1960)	carmine [hue]	Daniel Smith	94	3	4	58	0	3	0	27	-15	6	7
PR176+PR101		permanent crimson	Art Spectrum	W17	2	3	59	0	1	0	26	-12	7	8
PR177	anthraquinone red (1913)	permanent red deep	MaimeriBlu	253	4	3	56	0	2	3	22	-9	6	7
PR177	anthraquinone red (1913)	anthraquinoid red	Daniel Smith	16	4	4	58	0	4	2	24	-10	7	7
PR177	anthraquinone red (1913)	burgundy wine red	Old Holland	166	4	3	55	0	2	2	24	-11	3	6
PR178	perylene red (1957)	perylene red	Daniel Smith	29	2	4	55	0	4	3	28	-6	7	8
PR178	perylene red (1957)	scheveningen red medium	Old Holland	169	1	2	51	0	3	2	29	-5	6	7
PR179	perylene maroon (1957)	perylene red	Rowney Artists	529	4	4	66	0	3	0	22	-5	8	8
PR179	perylene maroon (1957)	perylene maroon	Winsor & Newton	227	4	4	59	0	3	0	27	1	8	8
PR179	perylene maroon (1957)	perylene maroon	Daniel Smith	2	3	4	64	0	3	2	27	-1	7	8
PR179	perylene maroon (1957)	perylene maroon	Rowney Artists	421	4	4	59	0	3	0	27	2	7	8
PR188	naphthol AS BON arylamide (1911)	permanent red	DaVinci	265	3	3	39	1	3	2	36	-4	6	7
PR188	naphthol AS BON arylamide (1911)	organic vermilion	Daniel Smith	42	2	4	45	0	2	1	38	-7	6	7
PR188	naphthol AS BON arylamide (1911)	scarlet lake	Winsor & Newton	44	3	3	45	0	3	2	39	-7	7	7
PR188+PY65	naphthol AS BON arylamide + arylide yellow RN	bright red - [discontinued in 2005]	Winsor & Newton	42	3	4	39	0	1	0	42	5	6	6
PR202	quinacridone magenta (1958)	quinacridone magenta	Daniel Smith	73	3	4	60	0	3	2	10	-14	7	8
PR202	quinacridone magenta (1958)	quinacridone fuchsia	Daniel Smith	132	4	4	54	0	2	3	15	-10	8	8
PR206	quinacridone maroon (1958)	avignon orange	MaimeriBlu	53	3	3	55	0	3	4	30	4	7	8
PR206	quinacridone maroon (1958)	quinacridone burnt scarlet	Daniel Smith	7	3	4	54	0	4	4	31	2	7	8
PR206	quinacridone maroon (1958)	transparent red brown	Rowney Artists	261	3	2	54	1	3	1	32	1	7	8
PR206	quinacridone maroon (1958)	brown madder [hue]	Winsor & Newton	201	3	2	50	1	3	1	34	0	7	8
PR206+PR122 - +PR254	quinacridone maroon + quinacridone magenta + diketo-pyrrolo pyrrole red	crimson lake	MaimeriBlu	53	3	4	53	0	3	4	28	-2	7	7
PR209	quinacridone red (1958)	quinacridone red	Utrecht	2	3	2	42	0	1	0	21	-17	7	8
PR209	quinacridone red (1958)	quinacridone red	M. Graham	155	4	3	43	0	3	2	29	-11	7	8
PR209	quinacridone red (1958)	quinacridone red	Rowney Artists	528	3	3	48	0	4	2	30	-14	7	7
PR209	quinacridone red (1958)	cherry red	Holbein	224	3	3	48	0	3	2	30	-17	7	7
PR209	quinacridone red (1958)	quinacridone red	Winsor & Newton	230	3	4	47	0	3	1	31	-14	7	8
PR209	quinacridone red (1958)	tiziano red	MaimeriBlu	261	4	3	41	0	2	3	31	-13	7	8
PR209	quinacridone red (1958)	quinacridone coral	Daniel Smith	92	3	3	41	0	4	2	31	-12	7	8
PR214	disazo condensation red (1951)	scheveningen red deep	Old Holland	24	2	3	57	0	3	3	30	-11	6	7
PR216	pyranthrone red deep (1901)	brown madder [hue]	Holbein	23	4	2	50	1	2	1	28	1	2	5
PR23	naphthol AS carmine (1911)	crimson lake	Holbein	210	2	3	57	0	2	2	26	-20	3	6
PR233	chrome aluminum stannate (c.1780)	potter's pink	Winsor & Newton	537	2	1	42	0	2	2	15	3	.	.
PR242	disazo condensation scarlet (1960)	french vermilion [hue]	Sennelier	675	3	4	45	2	0	4	40	-8	8	8
PR251	pyrazoloquinazolone scarlet (1960)	permanent red - (discontinued in 2002)	Schmincke	361	2	3	50	0	1	1	36	0	8	8
PR254	diketo-pyrrolo pyrrole red (1983)	winsor red	Winsor & Newton	56	2	4	49	0	4	1	32	-9	8	8
PR254	diketo-pyrrolo pyrrole red (1983)	pyrrol red	Daniel Smith	5	1	4	54	1	3	4	32	-7	8	8
PR254	diketo-pyrrolo pyrrole red (1983)	permanent red deep	Rembrandt	371	1	4	49	1	3	4	32	-8	8	8
PR254	diketo-pyrrolo pyrrole red (1983)	sandal red	MaimeriBlu	263	2	3	49	0	3	4	32	-9	6	7
PR254+PO73		permanent red	Rowney Artists	371	1	4	51	1	3	4	38	-3	4	6
PR255	diketo-pyrrolo pyrrole scarlet (1983)	pyrrol scarlet	Daniel Smith	84	3	4	47	0	4	1	34	-2	8	8
PR255	diketo-pyrrolo pyrrole scarlet (1983)	vermilion hue 	Rowney Artists	588	3	4	46	0	3	1	34	-3	8	8
PR255	diketo-pyrrolo pyrrole scarlet (1983)	permanent red medium	Rembrandt	377	1	4	52	1	3	4	34	-9	8	8
PR255	diketo-pyrrolo pyrrole scarlet (1983)	vermilion [hue] 	Schmincke	365	3	4	45	0	3	1	36	-3	8	8
PR260	isoindoline scarlet (1964)	vermilion [hue] extra	Old Holland	148	2	2	48	0	4	0	32	5	8	8
PR264	diketo-pyrrolo pyrrole rubine (1986)	pyrrol crimson	Daniel Smith	127	3	4	58	0	3	2	27	-9	6	7
PR264+PR101	diketo-pyrrolo pyrrole rubine + synthetic red iron oxide	permanent madder brown	Rembrandt	324	2	4	49	0	2	2	29	5	6	6
PR264+PV19	diketo-pyrrolo pyrrole rubine + quinacridone violet	carmine [hue]	Rembrandt	318	2	2	61	0	3	3	22	5	6	7
PR264+PV19	diketo-pyrrolo pyrrole rubine + quinacridone rose	permanent madder purple	Rembrandt	325	3	3	45	0	3	2	24	10	6	7
PR3	beta naphthol red (1873)	blockx red - [discontinued in 2008]	Blockx	225	2	3	54	0	3	4	33	-3	3	6
PR48	beta oxynaphtholic acid scarlet (1902)	scarlet lake	Holbein	225	2	3	46	0	3	0	38	-13	1	6
PR60	disazo lake (1923)	permanent rose	Holbein	2	3	1	53	0	3	3	24	-20	3	6
PR83	1-2-dihydroxyanthraquinone lake (1868)	alizarin crimson	Rembrandt	326	4	2	54	0	3	2	20	-5	2	6
